name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
RT Ponting,AUS,24,23,1,840,91,38.18,1054,79.69,0,7,0,2004
DA Warner,AUS,25,24,0,840,163,35,1014,82.84,2,3,0,2012
Yuvraj Singh,INDIA,26,25,5,839,120,41.95,1043,80.44,3,3,0,2005
HM Amla,SA,23,22,0,838,122,38.09,991,84.56,2,4,1,2013
ADR Campbell,ZIM,26,26,0,837,124,32.19,1227,68.21,3,3,2,2001
VVS Laxman,INDIA,25,24,4,837,131,41.85,1049,79.79,4,1,0,2004
AC Gilchrist,AUS,27,26,0,836,124,32.15,869,96.2,2,4,3,2002
ST Jayasuriya,SL,31,30,2,835,115,29.82,891,93.71,2,4,1,2007
AC Gilchrist,AUS,25,24,1,831,118,36.13,943,88.12,3,2,1,1998
Saeed Anwar,PAK,21,21,1,831,140,41.55,954,87.1,1,7,1,1998
KC Sangakkara,SL,30,30,2,829,77*,29.6,1178,70.37,0,6,1,2002
RT Ponting,AUS,18,18,3,828,102,55.2,900,92,2,6,0,2001
WU Tharanga,SL,22,21,3,826,133,45.88,1091,75.71,4,2,1,2011
N Dickwella,SL,26,26,1,826,116,33.04,860,96.04,2,4,1,2017
MEK Hussey,AUS,24,23,5,825,79,45.83,901,91.56,0,6,0,2010
RG Twose,NZ,25,24,7,823,80*,48.41,1119,73.54,0,7,2,1999
R Dravid,INDIA,31,27,5,823,92*,37.4,1003,82.05,0,8,3,2007
DS Lehmann,AUS,32,28,3,821,110*,32.84,1037,79.17,1,5,1,1999
MS Dhoni,INDIA,29,26,6,821,96,41.05,883,92.97,0,7,0,2006
TM Dilshan,SL,28,27,1,820,144,31.53,953,86.04,2,4,1,2011
JN Rhodes,SA,29,28,2,819,66,31.5,1104,74.18,0,4,1,1994
Inzamam-ul-Haq,PAK,28,27,1,818,117,31.46,1014,80.67,2,4,2,1992
L Klusener,SA,41,35,13,817,75*,37.13,987,82.77,0,4,5,2000
A Ranatunga,SL,28,25,6,815,131*,42.89,1039,78.44,1,7,3,1997
A Symonds,AUS,26,23,3,815,156,40.75,895,91.06,1,4,2,2005
S Dhawan,INDIA,18,18,1,815,113,47.94,942,86.51,1,6,0,2014
RG Sharma,INDIA,17,17,1,815,150,50.93,854,95.43,3,4,2,2015
Sikandar Raza,ZIM,31,28,4,814,100*,33.91,906,89.84,2,3,0,2015
SC Ganguly,INDIA,23,22,0,813,127,36.95,1144,71.06,2,6,2,2001
JH Kallis,SA,22,22,4,812,113*,45.11,1096,74.08,3,2,0,1998
MS Atapattu,SL,26,25,3,812,124,36.9,1186,68.46,3,2,2,2003
SR Tendulkar,INDIA,21,21,1,812,141,40.6,1014,80.07,1,5,1,2004
PG Fulton,NZ,24,22,2,811,83,40.55,1075,75.44,0,6,1,2007
MD Crowe,NZ,20,20,1,810,104,42.63,1192,67.95,1,6,0,1990
DJ Cullinan,SA,21,20,2,810,89,45,1100,73.63,0,8,1,1997
AC Gilchrist,AUS,22,21,0,810,122,38.57,779,103.97,2,4,2,2006
V Sehwag,INDIA,20,19,1,810,146,45,593,136.59,3,2,0,2009
ME Waugh,AUS,16,13,3,809,173,80.9,933,86.7,4,2,1,2001
Ahmed Shehzad,PAK,21,21,0,809,124,38.52,1125,71.91,2,5,1,2013
Inzamam-ul-Haq,PAK,21,21,5,808,90*,50.5,1132,71.37,0,6,1,1993
A Symonds,AUS,26,21,8,808,107*,62.15,777,103.98,1,6,1,2007
GJ Bailey,AUS,27,25,3,808,112,36.72,1020,79.21,1,5,1,2016
BRM Taylor,ZIM,28,28,5,807,98,35.08,1099,73.43,0,5,1,2006
Tamim Iqbal,BDESH,26,26,0,807,129,31.03,1035,77.97,1,5,4,2008
BC Lara,WI,15,14,2,806,169,67.16,839,96.06,2,6,0,1995
SP Fleming,NZ,23,23,4,806,116*,42.42,1087,74.14,2,3,0,1998
AJ Strauss,ENG,14,14,0,806,154,57.57,840,95.95,2,6,0,2010
ADR Campbell,ZIM,26,26,2,805,102,33.54,1168,68.92,2,4,0,1998
HH Gibbs,SA,22,22,2,805,125,40.25,1091,73.78,2,4,1,1999
DR Martyn,AUS,25,23,6,805,95*,47.35,1063,75.72,0,7,2,2005
SPD Smith,AUS,19,17,2,805,105,53.66,935,86.09,2,5,0,2015
A Symonds,AUS,24,22,6,803,104*,50.18,850,94.47,1,5,4,2004
N Hussain,ENG,24,24,1,801,115,34.82,1119,71.58,1,5,1,2002
Ijaz Ahmed,PAK,25,24,2,799,132,36.31,819,97.55,3,3,2,1998
BB McCullum,NZ,33,28,6,799,96,36.31,790,101.13,0,5,2,2007
DC Boon,AUS,21,20,3,798,100,46.94,1203,66.33,2,4,1,1992
RT Ponting,AUS,23,23,1,798,164,36.27,896,89.06,2,6,2,2006
A Ranatunga,SL,22,22,4,796,102,44.22,1056,75.37,1,6,2,1998
JE Root,ENG,15,14,1,796,125,61.23,867,91.81,2,6,0,2016
BC Lara,WI,21,21,2,794,88*,41.78,1170,67.86,0,9,1,1992
GA Hick,ENG,21,21,4,794,126*,46.7,1053,75.4,3,4,3,1999
MA Taylor,AUS,22,22,0,792,105,36,1224,64.7,1,5,1,1996
LMP Simmons,WI,17,17,1,792,122,49.5,993,79.75,1,8,1,2011
DPMD Jayawardene,SL,32,31,3,791,77,28.25,1197,66.08,0,3,1,2002
RR Sarwan,WI,24,22,8,791,104*,56.5,984,80.38,1,6,1,2004
F du Plessis,SA,15,15,0,790,126,52.66,892,88.56,3,4,0,2014
AJ Finch,AUS,18,18,0,790,121,43.88,940,84.04,4,3,2,2014
MD Crowe,NZ,18,18,7,789,100*,71.72,1018,77.5,1,6,0,1992
A Jadeja,INDIA,32,30,7,789,71*,34.3,1022,77.2,0,4,2,1996
DM Bravo,WI,24,24,3,788,100*,37.52,1056,74.62,1,8,2,2013
MS Dhoni,INDIA,29,22,9,788,134,60.61,930,84.73,1,6,0,2017
MS Atapattu,SL,33,32,1,787,82,25.38,1358,57.95,0,7,1,1999
Shakib Al Hasan,BDESH,27,27,3,787,106,32.79,982,80.14,1,5,2,2010
